country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
PH,,,,9,7,wonderstuff
IN,PH,,,0,2,transport
IN,PH,,,1,4,transport
IN,PH,,,2,4,transport
IN,PH,,,3,1,transport
IN,PH,,,4,1,transport
IN,PH,,,5,6,transport
IN,PH,,,6,3,transport
IN,PH,,,7,5,transport
IN,PH,,,8,6,transport
IN,PH,,,9,2,transport
IN,PH,,,0,5,windenergy
IN,PH,,,1,6,windenergy
IN,PH,,,2,4,windenergy
IN,PH,,,3,7,windenergy
IN,PH,,,4,2,windenergy
IN,PH,,,5,2,windenergy
IN,PH,,,6,1,windenergy
IN,PH,,,7,5,windenergy
IN,PH,,,8,5,windenergy
IN,PH,,,9,1,windenergy
IN,PH,,,0,3,nuclear
IN,PH,,,1,4,nuclear
IN,PH,,,2,7,nuclear
IN,PH,,,3,5,nuclear
IN,PH,,,4,5,nuclear
IN,PH,,,5,4,nuclear
IN,PH,,,6,2,nuclear
IN,PH,,,7,2,nuclear
IN,PH,,,8,5,nuclear
IN,PH,,,9,5,nuclear
IN,PH,,,0,4,biomass
IN,PH,,,1,7,biomass
IN,PH,,,2,7,biomass
IN,PH,,,3,1,biomass
IN,PH,,,4,7,biomass
IN,PH,,,5,3,biomass
IN,PH,,,6,6,biomass
IN,PH,,,7,7,biomass
IN,PH,,,8,3,biomass
IN,PH,,,9,3,biomass
IN,PH,,,0,4,waterenergy
IN,PH,,,1,5,waterenergy
IN,PH,,,2,7,waterenergy
IN,PH,,,3,5,waterenergy
IN,PH,,,4,3,waterenergy
IN,PH,,,5,3,waterenergy
IN,PH,,,6,5,waterenergy
IN,PH,,,7,6,waterenergy
IN,PH,,,8,4,waterenergy
IN,PH,,,9,4,waterenergy
IN,PH,,,0,4,newtech
IN,PH,,,1,5,newtech
IN,PH,,,2,2,newtech
IN,PH,,,3,7,newtech
IN,PH,,,4,3,newtech
IN,PH,,,5,7,newtech
IN,PH,,,6,4,newtech
IN,PH,,,7,3,newtech
IN,PH,,,8,7,newtech
IN,PH,,,9,2,newtech
IN,PH,,,0,5,wonderstuff
IN,PH,,,1,6,wonderstuff
IN,PH,,,2,3,wonderstuff
IN,PH,,,3,1,wonderstuff
IN,PH,,,4,2,wonderstuff
IN,PH,,,5,3,wonderstuff
IN,PH,,,6,3,wonderstuff
IN,PH,,,7,2,wonderstuff
IN,PH,,,8,3,wonderstuff
IN,PH,,,9,3,wonderstuff
IN,PH,ID,,9,3,wonderstuff
SG,,,,0,214.8276267289739,Electricity Distribution
SG,,,,0,440.03843518836885,Electricity Transmission
SG,,,,0,213.32365791566053,Solar PV (Utility)
SG,,,,0,107.03399022268468,Utility-scale PV with 2 hour storage
SG,,,,0,28131.13898178016,Nuclear Power Plant
SG,,,,0,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,0,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,0,75.99481331390486,Coal Power Plant
SG,,,,0,33.63799995340882,Gasoline Motorcycle
SG,,,,0,28.179218425252262,Gasoline Car
SG,,,,0,15.055356861960647,Gasoline Bus + Rail
SG,,,,0,399.6858910016923,Industry Biomass Heating 
SG,,,,0,3.3066108700108474,Residential Electric Stove
SG,,,,0,1106.8014373141484,Industry Coal Heating
SG,,,,0,138.94749770649577,Biomass Power Plant
SG,,,,0,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,0,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,0,1.0129538763291415,Residential Biomass Stove
SG,,,,0,6.033918723906798,Residential Biomass Heating
SG,,,,0,37.62266939209943,Commercial Biomass Heating 
SG,,,,0,4.778491344768659,PWRSOL001F
SG,,,,0,88.73552345285214,PWRNGS003
SG,,,,0,241.17966185191193,PWRSOL002S
SG,,,,0,0.003878798,Solar Potential
SG,,,,0,4042.968152936916,Coal Imports
SG,,,,0,13700.22248,Light Fuel Oil Imports
SG,,,,9011.1347,195.73223128835076,Electricity Distribution
SG,,,,9011.1347,401.05630718927284,Electricity Transmission
SG,,,,9011.1347,213.98367424355666,Solar PV (Utility)
SG,,,,9011.1347,108.86797812886408,Utility-scale PV with 2 hour storage
SG,,,,9011.1347,26780.01895509157,Nuclear Power Plant
SG,,,,9011.1347,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,9011.1347,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,9011.1347,75.99481331390486,Coal Power Plant
SG,,,,9011.1347,33.63799995340882,Gasoline Motorcycle
SG,,,,9011.1347,30.232521770864956,Gasoline Car
SG,,,,9011.1347,15.125863125523578,Gasoline Bus + Rail
SG,,,,9011.1347,400.5126322365737,Industry Biomass Heating 
SG,,,,9011.1347,3.2138675193923314,Residential Electric Stove
SG,,,,9011.1347,1149.8139604176176,Industry Coal Heating
SG,,,,9011.1347,138.94749770649577,Biomass Power Plant
SG,,,,9011.1347,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,9011.1347,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,9011.1347,1.0129538763291415,Residential Biomass Stove
SG,,,,9011.1347,5.8041260807281105,Residential Biomass Heating
SG,,,,9011.1347,37.17348905371053,Commercial Biomass Heating 
SG,,,,9011.1347,4.778491344768659,PWRSOL001F
SG,,,,9011.1347,88.73552345285214,PWRNGS003
SG,,,,9011.1347,241.17966185191193,PWRSOL002S
SG,,,,9011.1347,0.003888159,Solar Potential
SG,,,,9011.1347,4233.211462639263,Coal Imports
SG,,,,9011.1347,13732.230011981732,Light Fuel Oil Imports
SG,,,,18022.269,179.94151617198517,Electricity Distribution
SG,,,,18022.269,368.7723318614184,Electricity Transmission
SG,,,,18022.269,213.23033479838665,Solar PV (Utility)
SG,,,,18022.269,114.71180094323779,Utility-scale PV with 2 hour storage
SG,,,,18022.269,25614.86095238592,Nuclear Power Plant
SG,,,,18022.269,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,18022.269,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,18022.269,75.99481331390486,Coal Power Plant
SG,,,,18022.269,33.63799995340882,Gasoline Motorcycle
SG,,,,18022.269,30.232521770864956,Gasoline Car
SG,,,,18022.269,15.13896570217056,Gasoline Bus + Rail
SG,,,,18022.269,412.41978333242747,Industry Biomass Heating 
SG,,,,18022.269,3.200625522553759,Residential Electric Stove
SG,,,,18022.269,1166.487348483825,Industry Coal Heating
SG,,,,18022.269,138.94749770649577,Biomass Power Plant
SG,,,,18022.269,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,18022.269,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,18022.269,1.0129538763291415,Residential Biomass Stove
SG,,,,18022.269,6.106341129513178,Residential Biomass Heating
SG,,,,18022.269,38.99954505,Commercial Biomass Heating 
SG,,,,18022.269,31.097826003364784,PWRSOL001F
SG,,,,18022.269,88.73552345285214,PWRNGS003
SG,,,,18022.269,241.17966185191193,PWRSOL002S
SG,,,,18022.269,0.004019644,Solar Potential
SG,,,,18022.269,4314.630488321273,Coal Imports
SG,,,,18022.269,13731.856224864307,Light Fuel Oil Imports
SG,,,,26580.52,172.12023207575777,Electricity Distribution
SG,,,,26580.52,352.8537977120348,Electricity Transmission
SG,,,,26580.52,212.46634513817733,Solar PV (Utility)
SG,,,,26580.52,116.34172794869433,Utility-scale PV with 2 hour storage
SG,,,,26580.52,23820.344493694385,Nuclear Power Plant
SG,,,,26580.52,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,26580.52,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,26580.52,440.11662584372743,Coal Power Plant
SG,,,,26580.52,33.63799995340882,Gasoline Motorcycle
SG,,,,26580.52,30.232521770864956,Gasoline Car
SG,,,,26580.52,15.213198909611728,Gasoline Bus + Rail
SG,,,,26580.52,417.2127547926452,Industry Biomass Heating 
SG,,,,26580.52,3.2302817018370407,Residential Electric Stove
SG,,,,26580.52,1166.487348483825,Industry Coal Heating
SG,,,,26580.52,138.94749770649577,Biomass Power Plant
SG,,,,26580.52,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,26580.52,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,26580.52,1.0129538763291415,Residential Biomass Stove
SG,,,,26580.52,6.193801127050688,Residential Biomass Heating
SG,,,,26580.52,39.57347639133954,Commercial Biomass Heating 
SG,,,,26580.52,71.64205335,PWRSOL001F
SG,,,,26580.52,88.73552345285214,PWRNGS003
SG,,,,26580.52,241.17966185191193,PWRSOL002S
SG,,,,26580.52,0.004195132,Solar Potential
SG,,,,26580.52,4860.153606423592,Coal Imports
SG,,,,26580.52,13732.722325204726,Light Fuel Oil Imports
SG,,,,35544.074,172.1236961,Electricity Distribution
SG,,,,35544.074,352.8608696541321,Electricity Transmission
SG,,,,35544.074,212.70702744658468,Solar PV (Utility)
SG,,,,35544.074,115.92113503098898,Utility-scale PV with 2 hour storage
SG,,,,35544.074,20255.104590986673,Nuclear Power Plant
SG,,,,35544.074,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,35544.074,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,35544.074,1486.224116127832,Coal Power Plant
SG,,,,35544.074,33.63799995340882,Gasoline Motorcycle
SG,,,,35544.074,30.232521770864956,Gasoline Car
SG,,,,35544.074,15.213198909611728,Gasoline Bus + Rail
SG,,,,35544.074,417.2127547926452,Industry Biomass Heating 
SG,,,,35544.074,3.2207759470016195,Residential Electric Stove
SG,,,,35544.074,1166.487348483825,Industry Coal Heating
SG,,,,35544.074,138.94749770649577,Biomass Power Plant
SG,,,,35544.074,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,35544.074,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,35544.074,1.0129538763291415,Residential Biomass Stove
SG,,,,35544.074,6.193801127050688,Residential Biomass Heating
SG,,,,35544.074,39.57347639133954,Commercial Biomass Heating 
SG,,,,35544.074,70.78732103713158,PWRSOL001F
SG,,,,35544.074,88.73552345285214,PWRNGS003
SG,,,,35544.074,241.17966185191193,PWRSOL002S
SG,,,,35544.074,0.004190813,Solar Potential
SG,,,,35544.074,6422.235860116206,Coal Imports
SG,,,,35544.074,13732.722325204726,Light Fuel Oil Imports
SG,,,,44555.209,172.1236961,Electricity Distribution
SG,,,,44555.209,352.8608696541321,Electricity Transmission
SG,,,,44555.209,212.70702744658468,Solar PV (Utility)
SG,,,,44555.209,115.92113503098898,Utility-scale PV with 2 hour storage
SG,,,,44555.209,16666.89908864723,Nuclear Power Plant
SG,,,,44555.209,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,44555.209,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,44555.209,2539.0841193611154,Coal Power Plant
SG,,,,44555.209,33.63799995340882,Gasoline Motorcycle
SG,,,,44555.209,30.232521770864956,Gasoline Car
SG,,,,44555.209,15.213198909611728,Gasoline Bus + Rail
SG,,,,44555.209,417.2127547926452,Industry Biomass Heating 
SG,,,,44555.209,3.2207759470016195,Residential Electric Stove
SG,,,,44555.209,1166.487348483825,Industry Coal Heating
SG,,,,44555.209,138.94749770649577,Biomass Power Plant
SG,,,,44555.209,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,44555.209,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,44555.209,1.0129538763291415,Residential Biomass Stove
SG,,,,44555.209,6.193801127050688,Residential Biomass Heating
SG,,,,44555.209,39.57347639133954,Commercial Biomass Heating 
SG,,,,44555.209,70.78732103713158,PWRSOL001F
SG,,,,44555.209,88.73552345285214,PWRNGS003
SG,,,,44555.209,241.17966185191193,PWRSOL002S
SG,,,,44555.209,0.004190813,Solar Potential
SG,,,,44555.209,7994.232046049024,Coal Imports
SG,,,,44555.209,13732.722325204726,Light Fuel Oil Imports
SG,,,,53408.101,172.15397793320943,Electricity Distribution
SG,,,,53408.101,352.92268859311133,Electricity Transmission
SG,,,,53408.101,212.46634513817733,Solar PV (Utility)
SG,,,,53408.101,115.85465948883066,Utility-scale PV with 2 hour storage
SG,,,,53408.101,13152.842536912318,Nuclear Power Plant
SG,,,,53408.101,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,53408.101,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,53408.101,3570.690296185142,Coal Power Plant
SG,,,,53408.101,33.63799995340882,Gasoline Motorcycle
SG,,,,53408.101,30.232521770864956,Gasoline Car
SG,,,,53408.101,15.213198909611728,Gasoline Bus + Rail
SG,,,,53408.101,417.2127547926452,Industry Biomass Heating 
SG,,,,53408.101,3.2382823695439367,Residential Electric Stove
SG,,,,53408.101,1166.487348483825,Industry Coal Heating
SG,,,,53408.101,138.94749770649577,Biomass Power Plant
SG,,,,53408.101,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,53408.101,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,53408.101,1.0129538763291415,Residential Biomass Stove
SG,,,,53408.101,6.193801127050688,Residential Biomass Heating
SG,,,,53408.101,39.57347639133954,Commercial Biomass Heating 
SG,,,,53408.101,69.53558120765429,PWRSOL001F
SG,,,,53408.101,88.73552345285214,PWRNGS003
SG,,,,53408.101,241.17966185191193,PWRSOL002S
SG,,,,53408.101,0.004184254,Solar Potential
SG,,,,53408.101,9534.775019761391,Coal Imports
SG,,,,53408.101,13732.722325204726,Light Fuel Oil Imports
SG,,,,62058.489,172.0575538245714,Electricity Distribution
SG,,,,62058.489,352.7258440537827,Electricity Transmission
SG,,,,62058.489,213.78844786271029,Solar PV (Utility)
SG,,,,62058.489,110.97174586279772,Utility-scale PV with 2 hour storage
SG,,,,62058.489,9747.713083337741,Nuclear Power Plant
SG,,,,62058.489,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,62058.489,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,62058.489,4580.104588954884,Coal Power Plant
SG,,,,62058.489,33.63799995340882,Gasoline Motorcycle
SG,,,,62058.489,30.232521770864956,Gasoline Car
SG,,,,62058.489,15.213198909611728,Gasoline Bus + Rail
SG,,,,62058.489,417.2127547926452,Industry Biomass Heating 
SG,,,,62058.489,3.1524454223410676,Residential Electric Stove
SG,,,,62058.489,1166.487348483825,Industry Coal Heating
SG,,,,62058.489,138.94749770649577,Biomass Power Plant
SG,,,,62058.489,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,62058.489,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,62058.489,1.0129538763291415,Residential Biomass Stove
SG,,,,62058.489,6.193801127050688,Residential Biomass Heating
SG,,,,62058.489,39.57347639133954,Commercial Biomass Heating 
SG,,,,62058.489,45.27288098061617,PWRSOL001F
SG,,,,62058.489,88.73552345285214,PWRNGS003
SG,,,,62058.489,241.17966185191193,PWRSOL002S
SG,,,,62058.489,0.004068492,Solar Potential
SG,,,,62058.489,11039.950962788773,Coal Imports
SG,,,,62058.489,13732.722325204726,Light Fuel Oil Imports
SG,,,,70485.154,171.89106857622278,Electricity Distribution
SG,,,,70485.154,352.38597428502254,Electricity Transmission
SG,,,,70485.154,221.61063779485366,Solar PV (Utility)
SG,,,,70485.154,107.73756819223848,Utility-scale PV with 2 hour storage
SG,,,,70485.154,6443.723345987361,Nuclear Power Plant
SG,,,,70485.154,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,70485.154,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,70485.154,5563.302655837338,Coal Power Plant
SG,,,,70485.154,33.63799995340882,Gasoline Motorcycle
SG,,,,70485.154,30.232521770864956,Gasoline Car
SG,,,,70485.154,15.213198909611728,Gasoline Bus + Rail
SG,,,,70485.154,417.2127547926452,Industry Biomass Heating 
SG,,,,70485.154,2.811807766547068,Residential Electric Stove
SG,,,,70485.154,1166.487348483825,Industry Coal Heating
SG,,,,70485.154,138.94749770649577,Biomass Power Plant
SG,,,,70485.154,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,70485.154,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,70485.154,1.0129538763291415,Residential Biomass Stove
SG,,,,70485.154,6.193801127050688,Residential Biomass Heating
SG,,,,70485.154,39.57347639133954,Commercial Biomass Heating 
SG,,,,70485.154,15.157354260687807,PWRSOL001F
SG,,,,70485.154,88.73552345285214,PWRNGS003
SG,,,,70485.154,241.17966185191193,PWRSOL002S
SG,,,,70485.154,0.003960173,Solar Potential
SG,,,,70485.154,12496.07857309137,Coal Imports
SG,,,,70485.154,13732.722325204726,Light Fuel Oil Imports
SG,,,,76834.642,172.10620149487593,Electricity Distribution
SG,,,,76834.642,352.82515530617235,Electricity Transmission
SG,,,,76834.642,226.6934202298564,Solar PV (Utility)
SG,,,,76834.642,111.18434239200779,Utility-scale PV with 2 hour storage
SG,,,,76834.642,3889.3336248198602,Nuclear Power Plant
SG,,,,76834.642,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,76834.642,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,76834.642,6306.770350693696,Coal Power Plant
SG,,,,76834.642,33.63799995340882,Gasoline Motorcycle
SG,,,,76834.642,30.232521770864956,Gasoline Car
SG,,,,76834.642,15.213198909611728,Gasoline Bus + Rail
SG,,,,76834.642,417.2127547926452,Industry Biomass Heating 
SG,,,,76834.642,2.5520143295214717,Residential Electric Stove
SG,,,,76834.642,1166.487348483825,Industry Coal Heating
SG,,,,76834.642,138.94749770649577,Biomass Power Plant
SG,,,,76834.642,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,76834.642,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,76834.642,1.0133566255815305,Residential Biomass Stove
SG,,,,76834.642,6.193801127050688,Residential Biomass Heating
SG,,,,76834.642,39.57347639133954,Commercial Biomass Heating 
SG,,,,76834.642,50.265456135591634,PWRSOL001F
SG,,,,76834.642,88.73552345285214,PWRNGS003
SG,,,,76834.642,241.17966185191193,PWRSOL002S
SG,,,,76834.642,0.004144594,Solar Potential
SG,,,,76834.642,13614.216691264932,Coal Imports
SG,,,,76834.642,13732.722325204726,Light Fuel Oil Imports
SG,,,,90111.347,172.1389844,Electricity Distribution
SG,,,,90111.347,352.89207940476433,Electricity Transmission
SG,,,,90111.347,182.32224016927512,Solar PV (Utility)
SG,,,,90111.347,113.62262696098627,Utility-scale PV with 2 hour storage
SG,,,,90111.347,512.7339099335435,Nuclear Power Plant
SG,,,,90111.347,7914.130897740849,Gas Power Plant (CCGT)
SG,,,,90111.347,7914.130897740849,Gas Power Plant (SCGT)
SG,,,,90111.347,7325.159731730422,Coal Power Plant
SG,,,,90111.347,33.63799995340882,Gasoline Motorcycle
SG,,,,90111.347,30.232521770864956,Gasoline Car
SG,,,,90111.347,15.213198909611728,Gasoline Bus + Rail
SG,,,,90111.347,417.2127547926452,Industry Biomass Heating 
SG,,,,90111.347,2.597053865555955,Residential Electric Stove
SG,,,,90111.347,1166.487348483825,Industry Coal Heating
SG,,,,90111.347,138.94749770649577,Biomass Power Plant
SG,,,,90111.347,141.03621306190874,Light Fuel Oil Power Plant
SG,,,,90111.347,0.8738724970283698,Residential LPG/Kerosene Stove
SG,,,,90111.347,1.0133689744642107,Residential Biomass Stove
SG,,,,90111.347,6.193801127050688,Residential Biomass Heating
SG,,,,90111.347,39.57347639133954,Commercial Biomass Heating 
SG,,,,90111.347,72.34471347086352,PWRSOL001F
SG,,,,90111.347,88.73552345285214,PWRNGS003
SG,,,,90111.347,241.17966185191193,PWRSOL002S
SG,,,,90111.347,0.004063769,Solar Potential
SG,,,,90111.347,15168.502882104014,Coal Imports
SG,,,,90111.347,13732.722325204726,Light Fuel Oil Imports
ID,,,,288270.69,10482.97602296028,Electricity Distribution
ID,,,,288270.69,55690.85712664517,Geothermal Power Plant
ID,,,,288270.69,37149.51686585578,Gas Power Plant (CCGT)
ID,,,,288270.69,22529.388389948024,Electricity Transmission
ID,,,,288270.69,28445.213978088465,Solar PV (Utility)
ID,,,,288270.69,868653.6215591718,CSP with Storage
ID,,,,288270.69,32502.409433753513,Large Hydropower Plant (Dam) (>100MW)
ID,,,,288270.69,3608.6114456695905,Medium Hydropower Plant (10-100MW)
ID,,,,288270.69,10684.345523974553,Small Hydropower Plant (<10MW)
ID,,,,288270.69,771.0777378679064,Onshore Wind
ID,,,,288270.69,42312.46050509979,Offshore Wind
ID,,,,288270.69,31001.830774932678,Utility-scale PV with 2 hour storage
ID,,,,288270.69,0.000629166,Electricity Imports
ID,,,,288270.69,43142.441130398045,Solar PV (Distributed with Storage)
ID,,,,288270.69,1304.0142982909592,Off-grid Hydropower
ID,,,,288270.69,170.47286398556068,Gas Power Plant (SCGT)
ID,,,,288270.69,14311.790030723165,Coal Power Plant
ID,,,,288270.69,3303.099089379712,Gasoline Motorcycle
ID,,,,288270.69,2409.8275711902156,Gasoline Car
ID,,,,288270.69,1180.0598571520225,Gasoline Bus + Rail
ID,,,,288270.69,4888.813064074856,Industry Biomass Heating 
ID,,,,288270.69,500.26348043398053,Residential Electric Stove
ID,,,,288270.69,324.4880579013233,Residential Oil Heating
ID,,,,288270.69,43.19942039487778,Commercial Oil Heating
ID,,,,288270.69,10991.425633674819,Industry Coal Heating
ID,,,,288270.69,1033.2459055273816,Biomass Power Plant
ID,,,,288270.69,96.67402343361114,Light Fuel Oil Power Plant
ID,,,,288270.69,470.86541893739735,Residential LPG/Kerosene Stove
ID,,,,288270.69,1176.383976753198,Residential Biomass Stove
ID,,,,288270.69,2809.4063533449857,Residential Biomass Heating
ID,,,,288270.69,342.1905887264848,Commercial Biomass Heating 
ID,,,,288270.69,4352.728991070136,Industry Natural Gas Heating
ID,,,,288270.69,43153.101337584565,Biomass Extraction
ID,,,,288270.69,72462.48833191617,Coal Extraction
ID,,,,288270.69,3.8498017660063044,Geothermal Potential
ID,,,,288270.69,0.27695268295969866,Hydro Potential
ID,,,,288270.69,61583.33246999567,Natural Gas Extraction
ID,,,,288270.69,117158.03369484402,Crude Oil Extraction
