country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KH,,,,57.7,0.0521,Commercial Biomass Heating 
KH,,,,57.7,0.0307,Industry Natural Gas Heating
KH,,,,57.7,5.34,Biomass Extraction
KH,,,,57.7,4.32E-05,Hydro Potential
KH,,,,57.7,7.90E-06,Solar Potential
KH,,,,57.7,1.12E-06,Wind Potential
KH,,,,57.7,2.19,Coal Imports
KH,,,,57.7,60.9,Light Fuel Oil Imports
KH,,,,57.7,0,Commercial Oil Heating
KH,,,,67.4,0.177,Electricity Distribution
KH,,,,67.4,0.361,Gas Power Plant (CCGT)
KH,,,,67.4,0.417,Electricity Transmission
KH,,,,67.4,0.784,Coal Power Plant
KH,,,,67.4,1.09,Solar PV (Utility)
KH,,,,67.4,0,CSP with Storage
KH,,,,67.4,6.38,Large Hydropower Plant (Dam) (>100MW)
KH,,,,67.4,0.119,Medium Hydropower Plant (10-100MW)
KH,,,,67.4,0.107,Small Hydropower Plant (<10MW)
KH,,,,67.4,0.007,Onshore Wind
KH,,,,67.4,0.414,Offshore Wind
KH,,,,67.4,0.677,Utility-scale PV with 2 hour storage
KH,,,,67.4,0,Onshore Wind power plant with storage
KH,,,,67.4,6.41E-07,Electricity Imports
KH,,,,67.4,0.752,Solar PV (Distributed with Storage)
KH,,,,67.4,0.0127,Off-grid Hydropower
KH,,,,67.4,0.0082,Oil Fired Gas Turbine (SCGT)
KH,,,,67.4,0.134,Gasoline Motorcycle
KH,,,,67.4,0.168,Gasoline Car
KH,,,,67.4,0.0736,Gasoline Bus + Rail
KH,,,,67.4,0.157,Industry Biomass Heating 
KH,,,,67.4,0.00627,Residential Electric Stove
KH,,,,67.4,0,Residential Oil Heating
KH,,,,67.4,0.397,Industry Coal Heating
KH,,,,67.4,0.00142,Biomass Power Plant
KH,,,,67.4,0.00978,Residential LPG/Kerosene Stove
KH,,,,67.4,0.196,Residential Biomass Stove
KH,,,,67.4,0.261,Residential Biomass Heating
KH,,,,67.4,0.0521,Commercial Biomass Heating 
KH,,,,67.4,0.00526,Industry Natural Gas Heating
KH,,,,67.4,5.56,Biomass Extraction
KH,,,,67.4,4.10E-05,Hydro Potential
KH,,,,67.4,7.62E-06,Solar Potential
KH,,,,67.4,1.11E-06,Wind Potential
KH,,,,67.4,2.43,Coal Imports
KH,,,,67.4,58.9,Light Fuel Oil Imports
KH,,,,67.4,0,Commercial Oil Heating
KH,,,,77,0.149,Electricity Distribution
KH,,,,77,0.209,Gas Power Plant (CCGT)
KH,,,,77,0.351,Electricity Transmission
KH,,,,77,0.998,Coal Power Plant
KH,,,,77,1.05,Solar PV (Utility)
KH,,,,77,0,CSP with Storage
KH,,,,77,5.78,Large Hydropower Plant (Dam) (>100MW)
KH,,,,77,0.0872,Medium Hydropower Plant (10-100MW)
KH,,,,77,0.0708,Small Hydropower Plant (<10MW)
KH,,,,77,0.007,Onshore Wind
KH,,,,77,0.315,Offshore Wind
KH,,,,77,0.667,Utility-scale PV with 2 hour storage
KH,,,,77,0,Onshore Wind power plant with storage
KH,,,,77,5.86E-07,Electricity Imports
KH,,,,77,0.491,Solar PV (Distributed with Storage)
KH,,,,77,0.00865,Off-grid Hydropower
KH,,,,77,0.0082,Oil Fired Gas Turbine (SCGT)
KH,,,,77,0.134,Gasoline Motorcycle
KH,,,,77,0.178,Gasoline Car
KH,,,,77,0.0736,Gasoline Bus + Rail
KH,,,,77,0.158,Industry Biomass Heating 
KH,,,,77,0.00627,Residential Electric Stove
KH,,,,77,0,Residential Oil Heating
KH,,,,77,0.422,Industry Coal Heating
KH,,,,77,0.0387,Biomass Power Plant
KH,,,,77,0.00727,Residential LPG/Kerosene Stove
KH,,,,77,0.198,Residential Biomass Stove
KH,,,,77,0.264,Residential Biomass Heating
KH,,,,77,0.0533,Commercial Biomass Heating 
KH,,,,77,0,Industry Natural Gas Heating
KH,,,,77,5.74,Biomass Extraction
KH,,,,77,3.76E-05,Hydro Potential
KH,,,,77,6.64E-06,Solar Potential
KH,,,,77,8.60E-07,Wind Potential
KH,,,,77,2.71,Coal Imports
KH,,,,77,57.9,Light Fuel Oil Imports
KH,,,,77,0,Commercial Oil Heating
KH,,,,86.6,0.129,Electricity Distribution
KH,,,,86.6,0.0285,Gas Power Plant (CCGT)
KH,,,,86.6,0.306,Electricity Transmission
KH,,,,86.6,1.06,Coal Power Plant
KH,,,,86.6,1.03,Solar PV (Utility)
KH,,,,86.6,0,CSP with Storage
KH,,,,86.6,5.28,Large Hydropower Plant (Dam) (>100MW)
KH,,,,86.6,0.0374,Medium Hydropower Plant (10-100MW)
KH,,,,86.6,0.0146,Small Hydropower Plant (<10MW)
KH,,,,86.6,0.00677,Onshore Wind
KH,,,,86.6,0.0942,Offshore Wind
KH,,,,86.6,0.453,Utility-scale PV with 2 hour storage
KH,,,,86.6,0,Onshore Wind power plant with storage
KH,,,,86.6,5.63E-07,Electricity Imports
KH,,,,86.6,0.108,Solar PV (Distributed with Storage)
KH,,,,86.6,0.0022,Off-grid Hydropower
KH,,,,86.6,0.0082,Oil Fired Gas Turbine (SCGT)
KH,,,,86.6,0.134,Gasoline Motorcycle
KH,,,,86.6,0.19,Gasoline Car
KH,,,,86.6,0.0736,Gasoline Bus + Rail
KH,,,,86.6,0.159,Industry Biomass Heating 
KH,,,,86.6,0.00627,Residential Electric Stove
KH,,,,86.6,0,Residential Oil Heating
KH,,,,86.6,0.439,Industry Coal Heating
KH,,,,86.6,0.289,Biomass Power Plant
KH,,,,86.6,0.00702,Residential LPG/Kerosene Stove
KH,,,,86.6,0.199,Residential Biomass Stove
KH,,,,86.6,0.266,Residential Biomass Heating
KH,,,,86.6,0.0535,Commercial Biomass Heating 
KH,,,,86.6,0,Industry Natural Gas Heating
KH,,,,86.6,5.86,Biomass Extraction
KH,,,,86.6,3.45E-05,Hydro Potential
KH,,,,86.6,5.47E-06,Solar Potential
KH,,,,86.6,2.33E-07,Wind Potential
KH,,,,86.6,2.92,Coal Imports
KH,,,,86.6,58,Light Fuel Oil Imports
KH,,,,86.6,0,Commercial Oil Heating
KH,,,,96.2,0.11,Electricity Distribution
KH,,,,96.2,0,Gas Power Plant (CCGT)
KH,,,,96.2,0.264,Electricity Transmission
KH,,,,96.2,1.01,Coal Power Plant
KH,,,,96.2,0.779,Solar PV (Utility)
KH,,,,96.2,0,CSP with Storage
KH,,,,96.2,3.16,Large Hydropower Plant (Dam) (>100MW)
KH,,,,96.2,0.0202,Medium Hydropower Plant (10-100MW)
KH,,,,96.2,0,Small Hydropower Plant (<10MW)
KH,,,,96.2,0.00722,Onshore Wind
KH,,,,96.2,0,Offshore Wind
KH,,,,96.2,0.324,Utility-scale PV with 2 hour storage
KH,,,,96.2,0,Onshore Wind power plant with storage
KH,,,,96.2,5.28E-07,Electricity Imports
KH,,,,96.2,0.000855,Solar PV (Distributed with Storage)
KH,,,,96.2,0,Off-grid Hydropower
KH,,,,96.2,0.0082,Oil Fired Gas Turbine (SCGT)
KH,,,,96.2,0.134,Gasoline Motorcycle
KH,,,,96.2,0.193,Gasoline Car
KH,,,,96.2,0.0736,Gasoline Bus + Rail
KH,,,,96.2,0.159,Industry Biomass Heating 
KH,,,,96.2,0.00587,Residential Electric Stove
KH,,,,96.2,0,Residential Oil Heating
KH,,,,96.2,0.446,Industry Coal Heating
KH,,,,96.2,1.66,Biomass Power Plant
KH,,,,96.2,0.00702,Residential LPG/Kerosene Stove
KH,,,,96.2,0.2,Residential Biomass Stove
KH,,,,96.2,0.266,Residential Biomass Heating
KH,,,,96.2,0.0535,Commercial Biomass Heating 
KH,,,,96.2,0,Industry Natural Gas Heating
KH,,,,96.2,6.2,Biomass Extraction
KH,,,,96.2,2.34E-05,Hydro Potential
KH,,,,96.2,4.79E-06,Solar Potential
KH,,,,96.2,1.43E-08,Wind Potential
KH,,,,96.2,3.32,Coal Imports
KH,,,,96.2,57.9,Light Fuel Oil Imports
KH,,,,96.2,0,Commercial Oil Heating
ID,,,,288,10.5,Electricity Distribution
ID,,,,288,55.7,Geothermal Power Plant
ID,,,,288,37.1,Gas Power Plant (CCGT)
ID,,,,288,22.5,Electricity Transmission
ID,,,,288,28.5,Solar PV (Utility)
ID,,,,288,869,CSP with Storage
ID,,,,288,32.6,Large Hydropower Plant (Dam) (>100MW)
ID,,,,288,3.61,Medium Hydropower Plant (10-100MW)
ID,,,,288,10.7,Small Hydropower Plant (<10MW)
ID,,,,288,0.771,Onshore Wind
ID,,,,288,42.3,Offshore Wind
ID,,,,288,31,Utility-scale PV with 2 hour storage
ID,,,,288,6.29E-07,Electricity Imports
ID,,,,288,43.1,Solar PV (Distributed with Storage)
ID,,,,288,1.3,Off-grid Hydropower
ID,,,,288,0.17,Gas Power Plant (SCGT)
ID,,,,288,14.3,Coal Power Plant
ID,,,,288,3.3,Gasoline Motorcycle
ID,,,,288,2.41,Gasoline Car
ID,,,,288,1.18,Gasoline Bus + Rail
ID,,,,288,4.89,Industry Biomass Heating 
ID,,,,288,0.5,Residential Electric Stove
ID,,,,288,0.324,Residential Oil Heating
ID,,,,288,0.0432,Commercial Oil Heating
ID,,,,288,11,Industry Coal Heating
ID,,,,288,1.03,Biomass Power Plant
ID,,,,288,0.0967,Light Fuel Oil Power Plant
ID,,,,288,0.471,Residential LPG/Kerosene Stove
ID,,,,288,1.18,Residential Biomass Stove
ID,,,,288,2.81,Residential Biomass Heating
ID,,,,288,0.342,Commercial Biomass Heating 
ID,,,,288,4.35,Industry Natural Gas Heating
ID,,,,288,43.2,Biomass Extraction
ID,,,,288,72.5,Coal Extraction
ID,,,,288,0.00385,Geothermal Potential
ID,,,,288,0.000277,Hydro Potential
ID,,,,288,61.6,Natural Gas Extraction
ID,,,,288,117,Crude Oil Extraction
ID,,,,288,0.00146,Solar Potential
ID,,,,288,0.00011,Wind Potential
ID,,,,288,1300,Light Fuel Oil Imports
ID,,,,288,0,Coal Imports
ID,,,,577,8.15,Electricity Distribution
ID,,,,577,56.1,Geothermal Power Plant
ID,,,,577,43.1,Gas Power Plant (CCGT)
ID,,,,577,17.6,Electricity Transmission
ID,,,,577,28.4,Solar PV (Utility)
ID,,,,577,559,CSP with Storage
ID,,,,577,32.6,Large Hydropower Plant (Dam) (>100MW)
ID,,,,577,3.61,Medium Hydropower Plant (10-100MW)
ID,,,,577,10.7,Small Hydropower Plant (<10MW)
ID,,,,577,0.771,Onshore Wind
ID,,,,577,34.2,Offshore Wind
ID,,,,577,30.6,Utility-scale PV with 2 hour storage
ID,,,,577,6.17E-07,Electricity Imports
ID,,,,577,44.7,Solar PV (Distributed with Storage)
ID,,,,577,1.3,Off-grid Hydropower
ID,,,,577,0.17,Gas Power Plant (SCGT)
ID,,,,577,14.3,Coal Power Plant
ID,,,,577,3.3,Gasoline Motorcycle
ID,,,,577,2.49,Gasoline Car
ID,,,,577,1.55,Gasoline Bus + Rail
ID,,,,577,5.09,Industry Biomass Heating 
ID,,,,577,0.5,Residential Electric Stove
ID,,,,577,0.29,Residential Oil Heating
ID,,,,577,0.0386,Commercial Oil Heating
ID,,,,577,11.3,Industry Coal Heating
ID,,,,577,1.03,Biomass Power Plant
ID,,,,577,0.0967,Light Fuel Oil Power Plant
ID,,,,577,0.468,Residential LPG/Kerosene Stove
ID,,,,577,1.2,Residential Biomass Stove
ID,,,,577,2.87,Residential Biomass Heating
ID,,,,577,0.347,Commercial Biomass Heating 
ID,,,,577,5.51,Industry Natural Gas Heating
ID,,,,577,45,Biomass Extraction
ID,,,,577,73.4,Coal Extraction
ID,,,,577,0.00388,Geothermal Potential
ID,,,,577,0.000277,Hydro Potential
ID,,,,577,76.5,Natural Gas Extraction
ID,,,,577,117,Crude Oil Extraction
ID,,,,577,0.00106,Solar Potential
ID,,,,577,9.17E-05,Wind Potential
ID,,,,577,1310,Light Fuel Oil Imports
ID,,,,577,0,Coal Imports
ID,,,,865,6.55,Electricity Distribution
ID,,,,865,56.1,Geothermal Power Plant
ID,,,,865,46.3,Gas Power Plant (CCGT)
ID,,,,865,14.2,Electricity Transmission
ID,,,,865,28.5,Solar PV (Utility)
ID,,,,865,350,CSP with Storage
ID,,,,865,32.6,Large Hydropower Plant (Dam) (>100MW)
ID,,,,865,3.61,Medium Hydropower Plant (10-100MW)
ID,,,,865,10.7,Small Hydropower Plant (<10MW)
ID,,,,865,0.771,Onshore Wind
ID,,,,865,33,Offshore Wind
ID,,,,865,30.5,Utility-scale PV with 2 hour storage
ID,,,,865,6.13E-07,Electricity Imports
ID,,,,865,44.1,Solar PV (Distributed with Storage)
ID,,,,865,1.3,Off-grid Hydropower
ID,,,,865,0.17,Gas Power Plant (SCGT)
ID,,,,865,14.3,Coal Power Plant
ID,,,,865,3.3,Gasoline Motorcycle
ID,,,,865,3.42,Gasoline Car
ID,,,,865,1.82,Gasoline Bus + Rail
ID,,,,865,5.37,Industry Biomass Heating 
ID,,,,865,0.5,Residential Electric Stove
ID,,,,865,0.3,Residential Oil Heating
ID,,,,865,0.0357,Commercial Oil Heating
ID,,,,865,13.5,Industry Coal Heating
ID,,,,865,1.03,Biomass Power Plant
ID,,,,865,0.0967,Light Fuel Oil Power Plant
ID,,,,865,0.468,Residential LPG/Kerosene Stove
ID,,,,865,1.22,Residential Biomass Stove
ID,,,,865,3.03,Residential Biomass Heating
ID,,,,865,0.367,Commercial Biomass Heating 
ID,,,,865,4.44,Industry Natural Gas Heating
ID,,,,865,47.5,Biomass Extraction
ID,,,,865,77.6,Coal Extraction
ID,,,,865,0.00388,Geothermal Potential
ID,,,,865,0.000277,Hydro Potential
ID,,,,865,69,Natural Gas Extraction
ID,,,,865,117,Crude Oil Extraction
ID,,,,865,0.000794,Solar Potential
ID,,,,865,8.88E-05,Wind Potential
ID,,,,865,1340,Light Fuel Oil Imports
ID,,,,865,0,Coal Imports
ID,,,,1150,5.33,Electricity Distribution
ID,,,,1150,56.1,Geothermal Power Plant
ID,,,,1150,47.5,Gas Power Plant (CCGT)
ID,,,,1150,11.6,Electricity Transmission
ID,,,,1150,28.1,Solar PV (Utility)
ID,,,,1150,179,CSP with Storage
ID,,,,1150,32.3,Large Hydropower Plant (Dam) (>100MW)
ID,,,,1150,3.57,Medium Hydropower Plant (10-100MW)
ID,,,,1150,10.7,Small Hydropower Plant (<10MW)
ID,,,,1150,0.771,Onshore Wind
ID,,,,1150,30.5,Offshore Wind
ID,,,,1150,30.3,Utility-scale PV with 2 hour storage
ID,,,,1150,6.08E-07,Electricity Imports
ID,,,,1150,41.9,Solar PV (Distributed with Storage)
ID,,,,1150,1.3,Off-grid Hydropower
ID,,,,1150,0.17,Gas Power Plant (SCGT)
ID,,,,1150,15.8,Coal Power Plant
ID,,,,1150,3.3,Gasoline Motorcycle
ID,,,,1150,3.69,Gasoline Car
ID,,,,1150,2.04,Gasoline Bus + Rail
ID,,,,1150,5.81,Industry Biomass Heating 
ID,,,,1150,0.5,Residential Electric Stove
ID,,,,1150,0.254,Residential Oil Heating
ID,,,,1150,0.0273,Commercial Oil Heating
ID,,,,1150,13.9,Industry Coal Heating
ID,,,,1150,1.03,Biomass Power Plant
ID,,,,1150,0.0967,Light Fuel Oil Power Plant
ID,,,,1150,0.469,Residential LPG/Kerosene Stove
ID,,,,1150,1.25,Residential Biomass Stove
ID,,,,1150,3.12,Residential Biomass Heating
ID,,,,1150,0.382,Commercial Biomass Heating 
ID,,,,1150,3.79,Industry Natural Gas Heating
ID,,,,1150,51.4,Biomass Extraction
ID,,,,1150,81,Coal Extraction
ID,,,,1150,0.00388,Geothermal Potential
ID,,,,1150,0.000276,Hydro Potential
ID,,,,1150,65,Natural Gas Extraction
ID,,,,1150,117,Crude Oil Extraction
ID,,,,1150,0.000568,Solar Potential
ID,,,,1150,8.26E-05,Wind Potential
ID,,,,1150,1340,Light Fuel Oil Imports
ID,,,,1150,0,Coal Imports
ID,,,,1440,4.89,Electricity Distribution
ID,,,,1440,56.2,Geothermal Power Plant
ID,,,,1440,44.9,Gas Power Plant (CCGT)
ID,,,,1440,10.7,Electricity Transmission
ID,,,,1440,27.8,Solar PV (Utility)
ID,,,,1440,43.6,CSP with Storage
ID,,,,1440,30.5,Large Hydropower Plant (Dam) (>100MW)
ID,,,,1440,3.17,Medium Hydropower Plant (10-100MW)
ID,,,,1440,10.7,Small Hydropower Plant (<10MW)
ID,,,,1440,0.771,Onshore Wind
ID,,,,1440,27.4,Offshore Wind
ID,,,,1440,29.3,Utility-scale PV with 2 hour storage
ID,,,,1440,6.27E-07,Electricity Imports
ID,,,,1440,38.7,Solar PV (Distributed with Storage)
ID,,,,1440,1.19,Off-grid Hydropower
ID,,,,1440,0.17,Gas Power Plant (SCGT)
ID,,,,1440,22.7,Coal Power Plant
ID,,,,1440,3.3,Gasoline Motorcycle
ID,,,,1440,4.13,Gasoline Car
ID,,,,1440,2.17,Gasoline Bus + Rail
ID,,,,1440,5.98,Industry Biomass Heating 
ID,,,,1440,0.5,Residential Electric Stove
ID,,,,1440,0.177,Residential Oil Heating
ID,,,,1440,0.0164,Commercial Oil Heating
ID,,,,1440,14.4,Industry Coal Heating
ID,,,,1440,1.03,Biomass Power Plant
ID,,,,1440,0.0967,Light Fuel Oil Power Plant
ID,,,,1440,0.468,Residential LPG/Kerosene Stove
ID,,,,1440,1.28,Residential Biomass Stove
ID,,,,1440,3.21,Residential Biomass Heating
ID,,,,1440,0.397,Commercial Biomass Heating 
ID,,,,1440,2.99,Industry Natural Gas Heating
ID,,,,1440,53.9,Biomass Extraction
ID,,,,1440,89,Coal Extraction
ID,,,,1440,0.00388,Geothermal Potential
ID,,,,1440,0.000263,Hydro Potential
ID,,,,1440,58.1,Natural Gas Extraction
ID,,,,1440,117,Crude Oil Extraction
ID,,,,1440,0.000382,Solar Potential
ID,,,,1440,7.47E-05,Wind Potential
ID,,,,1440,1350,Light Fuel Oil Imports
ID,,,,1440,0,Coal Imports
ID,,,,1730,4.7,Electricity Distribution
ID,,,,1730,55.8,Geothermal Power Plant
ID,,,,1730,34.6,Gas Power Plant (CCGT)
ID,,,,1730,10.3,Electricity Transmission
ID,,,,1730,26.5,Solar PV (Utility)
ID,,,,1730,11.9,CSP with Storage
ID,,,,1730,26,Large Hydropower Plant (Dam) (>100MW)
ID,,,,1730,2.79,Medium Hydropower Plant (10-100MW)
ID,,,,1730,10.7,Small Hydropower Plant (<10MW)
ID,,,,1730,0.43,Onshore Wind
ID,,,,1730,25.3,Offshore Wind
ID,,,,1730,28.4,Utility-scale PV with 2 hour storage
